xD,xB,QC_kW,QR_kW
0.703473,0.565195,-2013.881,2834.336
0.785736,0.614086,-4022.51,5125.659
0.774596,0.681841,-2031.704,2948.037
0.514051,0.269619,-1646.006,2773.913
0.504692,0.336273,-1107.445,2210.029
0.472465,0.130585,-3640.391,4709.839
0.792711,0.742381,-1610.294,2412.576
0.434161,0.215172,-2745.688,4002.638
0.375523,0.185571,-806.123,1858.128
0.762811,0.65067,-2523.176,3714.623
0.771138,0.73155,-1488.227,2251.962
0.765973,0.593938,-3981.91,5253.817
0.735235,0.628685,-3555.228,4552.029
0.384114,0.156563,-3105.014,4283.451
0.631857,0.466781,-1677.957,2560.866
0.754786,0.604164,-3277.26,4295.495
0.5217,0.460998,-1360.782,2498.768
0.741169,0.610329,-2369.125,3238.393
0.468778,0.160077,-984.232,2363.191
0.67261,0.63229,-1064.966,2328.749
0.441794,0.310369,-1340.621,2151.144
0.487194,0.244377,-2202.344,3339.07
0.664035,0.566331,-2915.366,3872.295
0.687302,0.640602,-1123.046,2260.76
0.801427,0.763636,-1286.153,1976.798
0.431116,0.279218,-811.395,1712.438
0.547363,0.234462,-3423.171,4453.374
0.647404,0.473414,-955.032,1926.154
0.453275,0.157246,-1840.259,3128.217
0.547218,0.499518,-1725.359,2500.118
0.636543,0.56608,-735.149,1923.889
0.73665,0.650293,-871.753,1954.859
0.324397,0.111756,-1934.459,2818.982
0.542704,0.300616,-2916.17,4227.568
0.617252,0.52871,-3428.057,4385.034
0.803894,0.758152,-1756.711,3050.714
0.70288,0.609005,-1527.011,2594.607
0.749173,0.622743,-2004.98,3120.676
0.662067,0.467373,-2180.56,3252.888
0.380739,0.159733,-3372.306,4719.521
0.621363,0.518068,-1498.939,2499.304
0.751769,0.688948,-2293.886,3062.237
0.584177,0.487246,-1415.755,2401.939
0.450731,0.317157,-2094.922,3346.5
0.519329,0.269116,-2552.415,3687.554
0.759133,0.637496,-3570.906,4665.019
0.679937,0.589095,-1520.165,2431.319
0.523795,0.463876,-1061.797,2062.785
0.573935,0.0932,-4495.976,5396.08
0.579449,0.373647,-2149.139,3247.066
0.563833,0.401285,-2486.405,3422.673
0.697843,0.575515,-2767.671,4123.546
0.623229,0.545489,-2909.945,3904.373
0.725452,0.66783,-3390.031,4339.681
0.591283,0.375244,-1914.476,3039.192
0.404949,0.131346,-998.565,1892.8
0.529154,0.423181,-2170.908,3047.727
0.499727,0.338541,-1389.997,2234.813
0.399384,0.011352,-2613.15,3793.054
0.43658,0.360937,-795.213,1885.436
0.322761,0.11961,-3210.211,4379.448
0.537819,0.207611,-3261.384,4223.299
0.602332,0.564219,-977.668,1882.522
0.608022,0.459861,-1093.356,2206.557
0.393623,0.25573,-2439.303,3434.78
0.338235,0.091865,-3256.037,4276.439
0.342068,0.247144,-1935.515,2854.285
0.415559,0.170962,-2386.34,3228.571
0.612504,0.476029,-2340.058,3605.011
0.654191,0.542244,-2345.443,3448.813
0.411306,0.215289,-1699.717,2843.732
0.398228,0.334218,-1062.744,2370.476
0.31559,0.132237,-2034.438,3281.061
0.447752,0.390501,-1101.669,2310.792
0.718913,0.447713,-1929.158,3205.826
0.714578,0.58349,-2022.497,3012.333
0.767704,0.725046,-1562.106,2798.428
0.627758,0.573939,-1572.304,2506.647
0.525167,0.090837,-1480.232,2768.175
0.791007,0.706605,-2226.191,3281.755
0.599262,0.508302,-1911.074,2959.555
0.698048,0.590268,-2441.672,3542.74
0.497567,0.342002,-2480.827,3465.737
0.503463,0.266331,-3232.273,4404.065
0.539237,0.421874,-1363.298,2378.909
0.612391,0.477964,-2337.27,3506.641
0.664405,0.294194,-2343.95,3208.634
0.499091,0.352887,-2266.369,3282.016
0.724949,0.567003,-1973.311,2979.715
0.788506,0.69519,-1779.802,2573.018
0.468162,0.131345,-3178.559,4428.471
0.501764,0.377698,-1110.816,1976.606
0.456098,0.287321,-2131.297,3049.959
0.494483,0.176497,-3083.817,4193.869
0.406012,0.212344,-1574.416,2710.093
0.734678,0.602096,-950.313,2192.196
0.779953,0.750843,-1194.5,2285.527
0.68742,0.638058,-1663.435,2601.301
0.819781,0.694821,-3623.593,4363.156
0.803969,0.700222,-2198.226,3056.824
0.690333,0.568965,-771.281,1816.268
0.743413,0.645344,-2629.661,3546.573
0.786477,0.682927,-1027.882,2137.904
0.586575,0.41306,-2447.686,3497.236
0.647742,0.541599,-1462.07,2445.98
0.635636,0.461447,-2178.865,3409.747
0.786324,0.583768,-2170.737,3350.221
0.746351,0.508367,-2860.112,3969.22
0.372894,0.015574,-3026.001,4116.403
0.827911,0.739525,-2005.578,2869.276
0.345757,0.090292,-2212.726,3448.298
0.706914,0.506694,-2289.17,3291.892
0.795309,0.716774,-1914.019,2815.719
0.549452,0.413795,-1737.379,2940.338
0.397892,0.230056,-2353.655,3510.825
0.67417,0.588783,-1155.937,2106.295
0.643349,0.579803,-1770.247,2986.75
0.708156,0.648945,-1495.2,2332.771
0.547001,0.48197,-2349.312,3303.433
0.318632,0.171992,-1988.65,3012.243
0.76218,0.682424,-2612.216,3561.685
0.61288,0.448988,-3761.543,4621.81
0.668746,0.544385,-2201.95,3371.118
0.540737,0.335156,-1027.581,2208.926
0.588424,0.138778,-4043.426,5305.488
0.493227,0.396275,-2071.474,2893.465
0.43772,0.037293,-1737.21,3028.526
0.748574,0.695213,-2182.372,3335.38
0.719277,0.653614,-2439.185,3452.436
0.368553,0.199069,-3473.618,4717.3
0.60367,0.468027,-3705.069,4781.332
0.602688,0.493836,-963.486,1816.551
0.821732,0.760997,-1427.335,2692.256
0.773716,0.465183,-2302.217,3307.48
0.551293,0.145684,-1976.153,3202.444
0.420359,0.088151,-3360.117,4340.225
0.600811,0.343022,-1645.465,2646.196
0.592665,0.171201,-2012.266,2859.435
0.510492,0.160722,-1938.549,3247.003
0.785065,0.741453,-1523.345,2572.128
0.738889,0.693243,-1324.78,2446.004
0.39852,0.158905,-3500.116,4770.826
0.563075,0.304269,-2470.236,3748.973
0.753233,0.608374,-1833.313,2814.446
0.498429,0.087431,-1765.588,2713.595
0.479038,0.29405,-4426.096,5402.292
0.772755,0.670518,-735.589,1634.886
0.504517,0.435886,-897.139,1645.446
0.683464,0.566644,-1331.862,2328.371
0.362125,0.048892,-2578.418,3617.352
0.559374,0.102421,-2531.723,3759.751
0.778759,0.572964,-2466.889,3691.842
0.485915,0.13421,-3032.991,4350.764
0.535021,0.141133,-2410.025,3724.942
0.531071,0.437716,-1369.159,2184.468
0.674068,0.549016,-1596.426,2750.216
0.560708,0.397754,-1051.346,2114.483
0.518912,0.468602,-1764.467,2839.583
